ride_id,travel_from,max_capacity,year,month,day,day_of_week,hour,minute,tickets
5983,Kisii,11,2018,8,4,5,9,10,1
5984,Kisii,49,2018,8,4,5,7,3,1
5985,Kisii,11,2018,8,4,5,5,30,1
5986,Kisii,49,2018,8,4,5,7,4,1
5988,Migori,49,2017,11,28,1,7,8,3
5993,Kisii,49,2018,7,4,2,7,6,1
5994,Kisii,11,2018,7,4,2,6,58,1
5995,Kisii,11,2018,7,4,2,6,40,1
5996,Kisii,11,2018,7,4,2,6,30,2
5997,Kisii,11,2018,7,4,2,11,5,1
5998,Keroka,11,2017,11,28,1,10,20,1
6000,Kisii,11,2018,7,4,2,5,30,1
6003,Kisii,11,2018,6,4,0,5,10,5
6008,Kisii,49,2018,6,4,0,7,6,2
6009,Kisii,11,2018,6,4,0,5,50,1
6010,Kisii,11,2018,6,4,0,5,30,1
6013,Kisii,11,2018,5,4,4,5,0,1
6015,Kisii,11,2018,5,4,4,5,10,8
6019,Kisii,49,2018,5,4,4,7,7,2
6020,Kisii,49,2018,5,4,4,7,6,1
6021,Kisii,49,2018,5,4,4,19,5,1
6022,Kisii,11,2018,5,4,4,5,30,1
6029,Kisii,49,2018,4,4,2,7,8,1
6030,Kisii,49,2018,4,4,2,7,6,1
6031,Kisii,11,2018,4,4,2,6,0,1
6032,Kisii,11,2018,4,4,2,5,30,1
6037,Kisii,49,2018,3,4,6,7,6,1
6038,Kisii,49,2018,3,4,6,7,7,1
6039,Kisii,11,2018,3,4,6,10,53,1
6040,Kisii,11,2018,3,4,6,5,40,1
6041,Kisii,11,2018,3,4,6,7,20,1
6042,Kisii,11,2018,3,4,6,5,30,1
6045,Kisii,11,2018,2,4,6,5,0,1
6049,Kisii,49,2018,2,4,6,7,6,2
6050,Kisii,49,2018,2,4,6,7,12,1
6051,Kisii,11,2018,2,4,6,5,30,1
6055,Homa Bay,49,2017,11,28,1,7,4,4
6058,Kisii,49,2018,1,4,3,7,6,1
6059,Kisii,11,2018,1,4,3,9,50,2
6060,Kisii,11,2018,1,4,3,5,30,1
6065,Kisii,49,2018,3,31,5,7,4,1
6066,Kisii,49,2018,3,31,5,7,6,1
6067,Kisii,11,2018,3,31,5,10,0,1
6068,Kisii,11,2018,3,31,5,8,50,1
6069,Kisii,11,2018,3,31,5,10,51,1
6070,Kisii,11,2018,3,31,5,5,30,1
6073,Kisii,11,2018,3,30,4,5,0,1
6080,Kisii,49,2018,3,30,4,7,2,1
6081,Kisii,11,2018,3,30,4,10,54,1
6082,Kisii,11,2018,3,30,4,5,40,1
6083,Kisii,11,2018,3,30,4,10,20,1
6084,Kisii,11,2018,3,30,4,5,30,1
6085,Kisii,11,2018,3,30,4,10,50,1
6088,Kisii,11,2018,3,29,3,5,0,2
6089,Kisii,11,2018,3,29,3,5,10,1
6095,Kisii,49,2018,3,29,3,7,6,2
6096,Kisii,11,2018,3,29,3,9,50,1
6097,Kisii,11,2018,3,29,3,5,30,2
6099,Kisii,49,2018,3,29,3,7,1,1
6105,Kisii,11,2018,3,28,2,5,10,1
6106,Kisii,11,2018,3,28,2,5,0,1
6112,Kisii,49,2018,3,28,2,7,6,2
6113,Kisii,11,2018,3,28,2,10,20,1
6114,Kisii,11,2018,3,28,2,8,50,1
6115,Kisii,11,2018,3,28,2,6,40,1
6116,Kisii,11,2018,3,28,2,7,0,1
6117,Kisii,11,2018,3,28,2,5,30,1
6122,Kisii,11,2018,3,27,1,5,0,1
6127,Kisii,49,2018,3,27,1,7,6,2
6128,Kisii,49,2018,3,27,1,7,2,1
6129,Kisii,11,2018,3,27,1,6,50,1
6130,Kisii,49,2018,3,27,1,7,7,1
6131,Kisii,11,2018,3,27,1,6,10,1
6132,Keroka,11,2017,11,29,2,5,30,1
6133,Kisii,11,2018,3,27,1,5,30,1
6134,Kisii,11,2018,3,27,1,6,20,4
6139,Kisii,11,2018,3,26,0,5,0,2
6143,Kisii,49,2018,3,26,0,19,3,1
6144,Kisii,49,2018,3,26,0,7,6,2
6145,Kisii,11,2018,3,26,0,6,10,1
6146,Kisii,11,2018,3,26,0,6,40,1
6147,Kisii,11,2018,3,26,0,7,30,1
6148,Kisii,11,2018,3,26,0,5,30,1
6149,Kisii,11,2018,3,26,0,6,0,1
6154,Kisii,11,2018,3,25,6,5,0,5
6162,Kisii,49,2018,3,25,6,7,6,3
6163,Kisii,11,2018,3,25,6,6,40,1
6164,Kisii,11,2018,3,25,6,8,50,1
6165,Kisii,11,2018,3,25,6,10,54,1
6166,Kisii,11,2018,3,25,6,10,10,1
6167,Kisii,11,2018,3,25,6,11,2,1
6168,Kisii,11,2018,3,25,6,7,20,1
6169,Kisii,11,2018,3,25,6,5,30,1
6171,Kisii,11,2018,3,24,5,5,0,1
6176,Kisii,49,2018,3,24,5,7,6,2
6177,Kisii,49,2018,3,24,5,8,0,2
6153,Rongo,49,2017,11,29,2,7,5,4
6178,Kisii,11,2018,3,24,5,9,40,1
6179,Kisii,11,2018,3,24,5,8,20,1
6180,Kisii,11,2018,3,24,5,5,30,1
6183,Kisii,11,2018,3,23,4,5,10,1
6187,Kisii,49,2018,3,23,4,19,5,1
6188,Kisii,49,2018,3,23,4,8,0,1
6189,Kisii,49,2018,3,23,4,7,4,3
6190,Kisii,11,2018,3,23,4,5,50,1
6191,Kisii,11,2018,3,23,4,6,58,1
6193,Kisii,11,2018,3,23,4,8,30,1
6194,Kisii,49,2018,3,23,4,7,7,1
6195,Kisii,11,2018,3,23,4,5,30,1
6199,Kisii,11,2018,3,22,3,5,10,2
6200,Kisii,11,2018,3,22,3,5,0,1
6206,Kisii,49,2018,3,22,3,7,6,5
6207,Kisii,11,2018,3,22,3,9,10,4
6208,Kisii,11,2018,3,22,3,6,0,2
6209,Kisii,11,2018,3,22,3,5,40,1
6210,Kisii,11,2018,3,22,3,6,10,3
6211,Kisii,11,2018,3,22,3,5,30,1
6212,Kisii,11,2018,3,22,3,6,40,1
6221,Kisii,11,2018,3,21,2,6,40,1
6222,Kisii,49,2018,3,21,2,7,6,6
6120,Rongo,49,2017,11,29,2,7,14,1
6223,Kisii,49,2018,3,21,2,7,4,1
6224,Kisii,11,2018,3,21,2,5,30,1
6215,Kisii,11,2018,3,21,2,5,10,1
6226,Kisii,11,2018,3,20,1,5,10,3
6126,Rongo,49,2017,11,29,2,7,4,1
6231,Kisii,11,2018,3,20,1,9,30,1
6232,Kisii,11,2018,3,20,1,8,20,1
6233,Kisii,49,2018,3,20,1,7,12,1
6234,Kisii,11,2018,3,20,1,8,50,1
6235,Kisii,49,2018,3,20,1,7,6,1
6236,Kisii,11,2018,3,20,1,7,50,1
6237,Kisii,49,2018,3,20,1,7,15,1
6238,Kisii,11,2018,3,20,1,5,30,1
6239,Kisii,49,2018,3,20,1,7,8,1
6242,Kisii,11,2018,3,19,0,5,10,1
6245,Homa Bay,49,2017,11,29,2,7,4,11
6135,Migori,49,2017,11,29,2,7,12,6
6251,Kisii,49,2018,3,19,0,7,6,2
6252,Kisii,11,2018,3,19,0,5,40,1
6253,Kisii,49,2018,3,19,0,7,7,1
6254,Kisii,11,2018,3,19,0,5,50,1
6255,Kisii,11,2018,3,19,0,5,30,1
6261,Migori,49,2017,11,29,2,7,8,1
6262,Kisii,11,2018,3,18,6,5,0,1
6202,Migori,49,2017,11,29,2,7,15,8
6267,Kisii,49,2018,3,18,6,7,6,2
6268,Kisii,11,2018,3,18,6,10,51,2
6269,Kisii,11,2018,3,18,6,5,30,2
6243,Keroka,49,2017,11,29,2,7,6,1
6138,Homa Bay,49,2017,11,29,2,7,9,5
6277,Kisii,49,2018,3,17,5,7,6,3
6278,Kisii,11,2018,3,17,5,9,10,1
6279,Kisii,49,2018,3,17,5,7,4,1
6280,Kisii,11,2018,3,17,5,5,40,1
6281,Kisii,11,2018,3,17,5,5,30,1
6282,Kisii,11,2018,3,17,5,5,20,1
6301,Kisii,11,2018,3,16,4,5,50,1
6302,Kisii,49,2018,3,16,4,7,7,24
6303,Kisii,11,2018,3,16,4,10,56,5
6305,Kisii,11,2018,3,16,4,10,57,1
6306,Kisii,11,2018,3,16,4,10,55,9
6315,Kisii,11,2018,3,16,4,10,54,10
6316,Kisii,11,2018,3,16,4,10,53,8
6317,Kisii,11,2018,3,16,4,10,52,8
6319,Kisii,11,2018,3,16,4,10,51,9
6314,Rongo,49,2017,11,30,3,7,8,2
6321,Keumbu,11,2017,11,30,3,6,30,1
6324,Kisii,11,2018,3,16,4,10,50,7
6325,Kisii,49,2018,3,16,4,7,6,6
6310,Migori,49,2017,11,30,3,7,15,2
6311,Migori,49,2017,11,30,3,7,12,1
6327,Kisii,11,2018,3,16,4,10,40,8
6330,Kisii,11,2018,3,16,4,10,30,8
6335,Kisii,11,2018,3,16,4,10,20,10
6338,Kisii,11,2018,3,16,4,10,10,3
6340,Kisii,11,2018,3,16,4,9,20,10
6342,Kisii,11,2018,3,16,4,9,30,5
6343,Kisii,11,2018,3,16,4,9,10,6
6346,Kisii,11,2018,3,16,4,9,0,4
6345,Rongo,49,2017,1,12,3,7,0,1
6347,Rongo,49,2017,1,12,3,7,5,5
6348,Kisii,11,2018,3,16,4,8,50,5
6349,Kisii,11,2018,3,16,4,8,40,9
6350,Kisii,11,2018,3,16,4,8,30,9
6339,Rongo,49,2017,1,12,3,7,9,1
6351,Kisii,11,2018,3,16,4,8,20,6
6352,Kisii,11,2018,3,16,4,8,10,10
6354,Kisii,11,2018,3,16,4,8,0,10
6355,Kisii,11,2018,3,16,4,7,50,10
6356,Rongo,49,2017,1,12,3,7,8,3
6357,Kisii,11,2018,3,16,4,7,40,6
6358,Kisii,49,2018,3,16,4,7,2,11
6337,Migori,49,2017,1,12,3,7,12,1
6360,Kisii,49,2018,3,16,4,7,3,11
6361,Kisii,11,2018,3,16,4,7,30,7
6364,Kisii,11,2018,3,16,4,7,20,10
6344,Rongo,49,2017,1,12,3,7,14,1
6366,Kisii,49,2018,3,16,4,7,15,11
6367,Kisii,11,2018,3,16,4,6,58,10
6368,Kisii,11,2018,3,16,4,7,0,11
6370,Keroka,11,2017,1,12,3,6,50,10
6371,Kisii,11,2018,3,16,4,6,50,9
6372,Kisii,49,2018,3,16,4,7,5,2
6373,Kisii,11,2018,3,16,4,6,40,4
6375,Kisii,11,2018,3,16,4,5,40,1
6378,Keroka,11,2017,1,12,3,6,40,11
6381,Keroka,11,2017,1,12,3,6,30,10
6384,Kisii,49,2018,3,15,3,7,6,22
6385,Kisii,11,2018,3,15,3,8,0,8
6386,Kisii,11,2018,3,15,3,9,40,1
6387,Kisii,11,2018,3,15,3,9,0,7
6388,Keroka,11,2017,1,12,3,6,20,9
6389,Kisii,49,2018,3,15,3,7,7,8
6390,Keroka,11,2017,1,12,3,6,10,11
6391,Kisii,11,2018,3,15,3,8,50,9
6392,Keroka,11,2017,1,12,3,6,0,11
6393,Kisii,11,2018,3,15,3,8,20,2
6394,Kisii,11,2018,3,15,3,8,40,11
6395,Keroka,11,2017,1,12,3,5,50,11
6396,Keroka,11,2017,1,12,3,5,40,11
6397,Kisii,11,2018,3,15,3,8,30,10
6398,Keroka,11,2017,1,12,3,5,30,11
6399,Kisii,11,2018,3,15,3,5,50,1
6400,Kisii,11,2018,3,15,3,8,10,1
6401,Kisii,11,2018,3,15,3,7,50,8
6402,Kisii,11,2018,3,15,3,7,40,6
6403,Keroka,11,2017,1,12,3,10,58,11
6404,Kisii,11,2018,3,15,3,7,30,10
6405,Kisii,11,2018,3,15,3,7,20,9
6406,Kisii,11,2018,3,15,3,6,58,10
6407,Kisii,11,2018,3,15,3,7,0,7
6408,Kisii,11,2018,3,15,3,6,50,8
6409,Kisii,49,2018,3,15,3,7,1,15
6414,Keumbu,11,2017,1,12,3,5,0,1
6420,Kisii,11,2018,3,15,3,6,40,10
6422,Keroka,49,2017,2,12,6,7,6,3
6423,Rongo,49,2017,2,12,6,7,0,9
6424,Rongo,49,2017,2,12,6,7,5,3
6425,Kisii,11,2018,3,15,3,6,30,10
6426,Kisii,49,2018,3,15,3,7,5,6
6428,Kisii,11,2018,3,15,3,6,20,6
6435,Kisii,11,2018,3,15,3,6,10,5
6436,Kisii,49,2018,3,15,3,7,3,1
6440,Keumbu,11,2017,2,12,6,5,20,1
6434,Rongo,49,2017,2,12,6,7,14,3
6447,Kisii,11,2018,3,15,3,5,30,1
6449,Kisii,11,2018,3,14,2,5,20,1
6453,Kisii,11,2018,3,14,2,8,30,3
6454,Kisii,11,2018,3,14,2,8,20,9
6455,Kisii,11,2018,3,14,2,8,10,10
6456,Kisii,49,2018,3,14,2,7,6,11
6459,Kisii,11,2018,3,14,2,8,0,9
6461,Kisii,11,2018,3,14,2,7,50,11
6464,Kisii,11,2018,3,14,2,7,40,11
6465,Kisii,11,2018,3,14,2,6,0,1
6466,Kisii,11,2018,3,14,2,7,30,3
6468,Kisii,11,2018,3,14,2,5,50,11
6471,Kisii,11,2018,3,14,2,5,40,1
6472,Kisii,11,2018,3,14,2,5,30,1
6477,Kisii,11,2018,3,13,1,5,0,1
6485,Kisii,49,2018,3,13,1,7,6,5
6486,Kisii,11,2018,3,13,1,10,51,1
6487,Kisii,11,2018,3,13,1,10,50,9
6488,Kisii,11,2018,3,13,1,10,40,10
6490,Kisii,11,2018,3,13,1,10,30,8
6491,Kisii,11,2018,3,13,1,10,20,10
6492,Rongo,49,2017,3,12,6,7,9,1
6493,Kisii,11,2018,3,13,1,10,10,11
6470,Rongo,49,2017,3,12,6,7,14,3
6494,Kisii,11,2018,3,13,1,10,0,3
6495,Kisii,11,2018,3,13,1,9,50,6
6496,Kisii,11,2018,3,13,1,9,40,6
6497,Kisii,11,2018,3,13,1,9,30,8
6498,Kisii,11,2018,3,13,1,9,20,8
6499,Kisii,11,2018,3,13,1,9,10,11
6500,Kisii,11,2018,3,13,1,9,0,10
6501,Kisii,11,2018,3,13,1,8,50,4
6504,Kisii,11,2018,3,13,1,8,40,9
6507,Kisii,11,2018,3,13,1,8,20,10
6508,Kisii,11,2018,3,13,1,8,30,8
6509,Kisii,49,2018,3,13,1,7,3,17
6512,Keroka,11,2017,3,12,6,6,30,2
6518,Keumbu,11,2017,3,12,6,5,30,1
6476,Keroka,49,2017,3,12,6,7,6,1
6520,Keumbu,11,2017,3,12,6,5,10,1
6522,Kisii,11,2018,3,13,1,8,10,10
6527,Kisii,11,2018,3,13,1,8,0,10
6529,Rongo,49,2017,4,12,2,7,4,3
6530,Kisii,11,2018,3,13,1,7,50,8
6531,Rongo,49,2017,4,12,2,7,13,3
6532,Homa Bay,49,2017,4,12,2,7,9,25
6533,Kisii,11,2018,3,13,1,7,40,8
6534,Kisii,49,2018,3,13,1,7,1,5
6535,Migori,49,2017,4,12,2,7,12,15
6536,Kisii,11,2018,3,13,1,7,30,11
6537,Homa Bay,49,2017,4,12,2,7,4,1
6538,Homa Bay,49,2017,4,12,2,7,10,1
6539,Rongo,49,2017,4,12,2,7,5,5
6540,Rongo,49,2017,4,12,2,7,14,11
6541,Kisii,11,2018,3,13,1,7,20,7
6542,Kisii,49,2018,3,13,1,7,8,5
6543,Kisii,11,2018,3,13,1,6,58,8
6544,Kisii,11,2018,3,13,1,7,0,11
6545,Kisii,11,2018,3,13,1,6,50,8
6546,Kisii,11,2018,3,13,1,6,40,7
6547,Kisii,11,2018,3,13,1,5,30,1
6550,Kisii,11,2018,12,3,0,5,20,1
6557,Kisii,49,2018,12,3,0,7,6,12
6558,Kisii,11,2018,12,3,0,8,20,10
6559,Kisii,11,2018,12,3,0,9,20,3
6560,Kijauri,49,2017,4,12,2,7,7,3
6561,Kisii,11,2018,12,3,0,6,20,11
6562,Kisii,11,2018,12,3,0,9,10,1
6563,Kisii,11,2018,12,3,0,8,10,8
6564,Kisii,11,2018,12,3,0,7,30,8
6565,Kisii,11,2018,12,3,0,8,50,4
6566,Kisii,11,2018,12,3,0,8,40,8
6567,Kisii,11,2018,12,3,0,8,30,11
6568,Kijauri,11,2017,4,12,2,7,0,5
6569,Kisii,11,2018,12,3,0,8,0,11
6570,Kijauri,49,2017,4,12,2,7,6,1
6571,Kisii,11,2018,12,3,0,7,50,9
6572,Kisii,11,2018,12,3,0,7,40,11
6573,Kisii,11,2018,12,3,0,6,58,6
6574,Keroka,11,2017,4,12,2,5,0,4
6575,Kisii,49,2018,12,3,0,19,4,31
6576,Homa Bay,49,2017,4,12,2,7,11,1
6577,Kijauri,11,2017,4,12,2,6,20,1
6580,Keumbu,11,2017,4,12,2,5,0,1
6585,Kisii,11,2018,12,3,0,7,0,8
6591,Kisii,11,2018,12,3,0,6,50,8
6592,Kisii,49,2018,12,3,0,7,3,4
6593,Kisii,11,2018,12,3,0,6,40,7
6594,Rongo,49,2017,5,12,4,7,5,5
6595,Kisii,49,2018,12,3,0,6,59,2
6596,Rongo,49,2017,5,12,4,7,0,6
6597,Migori,49,2017,5,12,4,7,8,2
6598,Migori,49,2017,5,12,4,7,12,25
6599,Homa Bay,49,2017,5,12,4,7,9,27
6600,Rongo,49,2017,5,12,4,7,4,10
6601,Kisii,11,2018,12,3,0,6,30,11
6602,Oyugis,49,2017,5,12,4,7,2,1
6603,Rongo,49,2017,5,12,4,7,14,21
6604,Kisii,49,2018,12,3,0,7,15,5
6605,Kisii,49,2018,12,3,0,7,5,3
6606,Keroka,49,2017,5,12,4,7,6,6
6607,Kisii,11,2018,12,3,0,6,10,7
6608,Kisii,11,2018,12,3,0,5,50,1
6609,Kisii,11,2018,12,3,0,5,30,1
6612,Homa Bay,49,2017,5,12,4,7,10,8
6613,Kisii,11,2018,11,3,5,5,20,6
6614,Kisii,11,2018,11,3,5,5,0,2
6618,Migori,49,2017,5,12,4,7,15,21
6621,Kisii,49,2018,11,3,5,7,4,1
6622,Kisii,49,2018,11,3,5,7,6,24
6623,Kisii,49,2018,11,3,5,7,14,1
6624,Kisii,11,2018,11,3,5,11,0,1
6625,Kisii,11,2018,11,3,5,10,58,4
6626,Rongo,49,2017,5,12,4,7,9,4
6627,Kisii,11,2018,11,3,5,10,57,6
6628,Kisii,11,2018,11,3,5,10,56,10
6629,Kisii,11,2018,11,3,5,10,55,7
6630,Kisii,11,2018,11,3,5,10,54,11
6631,Kisii,11,2018,11,3,5,10,53,10
6632,Kisii,11,2018,11,3,5,10,52,9
6633,Kisii,11,2018,11,3,5,10,51,11
6634,Kisii,11,2018,11,3,5,10,50,8
6635,Kisii,11,2018,11,3,5,10,40,11
6636,Kijauri,49,2017,5,12,4,7,6,10
6637,Kisii,11,2018,11,3,5,10,30,10
6638,Kisii,11,2018,11,3,5,10,20,11
6639,Kisii,11,2018,11,3,5,10,10,10
6640,Kisii,11,2018,11,3,5,10,0,8
6641,Kisii,11,2018,11,3,5,9,50,8
6642,Kisii,11,2018,11,3,5,9,40,11
6643,Kisii,11,2018,11,3,5,9,30,8
6644,Keumbu,11,2017,5,12,4,5,0,2
6645,Kisii,11,2018,11,3,5,9,20,11
6646,Keroka,11,2017,5,12,4,9,0,2
6647,Kisii,11,2018,11,3,5,9,10,11
6648,Keumbu,11,2017,5,12,4,5,10,1
6649,Kisii,11,2018,11,3,5,9,0,8
6650,Keroka,11,2017,5,12,4,6,30,1
6651,Rongo,49,2017,5,12,4,7,8,2
6652,Keumbu,11,2017,5,12,4,5,30,1
6653,Kisii,11,2018,11,3,5,8,50,8
6654,Awendo,49,2017,5,12,4,7,8,2
6655,Homa Bay,49,2017,5,12,4,7,4,23
6661,Kisii,11,2018,11,3,5,8,40,7
6664,Kisii,11,2018,11,3,5,8,30,10
6665,Kisii,11,2018,11,3,5,8,20,6
6666,Migori,49,2017,6,12,0,7,12,26
6667,Homa Bay,49,2017,6,12,0,7,9,15
6668,Kisii,11,2018,11,3,5,8,10,10
6669,Kisii,11,2018,11,3,5,8,0,8
6670,Keroka,49,2017,6,12,0,7,4,1
6671,Kisii,11,2018,11,3,5,7,50,11
6672,Keroka,11,2017,6,12,0,8,10,10
6673,Rongo,49,2017,6,12,0,7,14,9
6674,Kisii,11,2018,11,3,5,7,40,9
6675,Kisii,11,2018,11,3,5,7,30,8
6676,Kisii,49,2018,11,3,5,7,2,1
6677,Kisii,49,2018,11,3,5,7,1,12
6678,Kisii,49,2018,11,3,5,7,15,2
6679,Rongo,49,2017,6,12,0,7,13,2
6680,Keroka,11,2017,6,12,0,9,10,5
6681,Rongo,49,2017,6,12,0,7,5,10
6682,Keroka,11,2017,6,12,0,9,0,11
6683,Keroka,11,2017,6,12,0,8,50,4
6684,Keroka,11,2017,6,12,0,8,40,4
6685,Keroka,11,2017,6,12,0,8,30,5
6686,Oyugis,49,2017,6,12,0,7,2,4
6687,Kisii,11,2018,11,3,5,7,20,10
6688,Kisii,11,2018,11,3,5,6,58,11
6689,Rongo,49,2017,6,12,0,7,4,6
6690,Kijauri,11,2017,6,12,0,9,30,1
6691,Rongo,49,2017,6,12,0,7,9,5
6692,Kisii,11,2018,11,3,5,6,50,8
6693,Keroka,11,2017,6,12,0,8,0,3
6694,Keroka,11,2017,6,12,0,7,50,4
6695,Keroka,11,2017,6,12,0,7,40,6
6696,Keroka,11,2017,6,12,0,7,30,5
6697,Kijauri,11,2017,6,12,0,7,30,3
6698,Keroka,11,2017,6,12,0,7,20,6
6699,Keroka,11,2017,6,12,0,7,10,6
6700,Keroka,11,2017,6,12,0,7,0,5
6701,Kisii,11,2018,11,3,5,7,0,1
6702,Kisii,11,2018,11,3,5,5,30,1
6703,Keroka,11,2017,6,12,0,6,50,9
6705,Keroka,11,2017,6,12,0,6,30,11
6706,Keroka,11,2017,6,12,0,5,50,11
6708,Keroka,11,2017,6,12,0,6,20,11
6709,Keroka,11,2017,6,12,0,6,10,11
6710,Keroka,11,2017,6,12,0,6,0,11
6711,Kisii,11,2018,10,3,2,5,10,1
6712,Kisii,11,2018,10,3,2,5,0,5
6714,Kijauri,11,2017,6,12,0,7,50,2
6715,Keroka,11,2017,6,12,0,5,40,11
6719,Kisii,49,2018,10,3,2,7,6,2
